Subject,Body,Num of Signature Lines
Useful IA info (UNCLASSIFIED),"

Hello shipmates, 
Attached are two documents which may be helpful to you.
Thanks to CAPT O and Master Chief. 
v/r
Leave

CDR Leave Alone
NAVYCOM LNO
USBANGCOM/HIGHER
Camp Desert, Kuwait
DSN:  123-456-7890
Cell: 12345678
VOSIP:  123-456-7890
NIPR:  leave.me.Alone.mil@mail.mil
SIPR:  leave.me.Alone.mil@mail.smil.mil



",10
SOQ ,"

LT,

Just an FYI.  I submitted both today to ECRC FWD.

V/R
Master Chief

Master O. Chief
Master Chief, US Navy
HIGHER HQ SGM
Task Force - Operation Doing Stuff
Camp Desert, Kuwait

NIPR: master.chief.mil@mail.mil
SIPR:  master.chief.mil@mail.smil.mil

DSN: 123-456-7890
SVOIP: 123-456-7890

""aut viam inveniam aut faciam"" Hannibal



",11
German Armed Forces Proficiency Badge ,"

ALL,

Was there anyone interested in participating in the GAFPB?

v/r

SFC Loudly, Speaks
HQ FUSION NCOIC
SIPR: 123-456-7890
NIPR: 123-456-7890
speaks.v.loudly2@mil@mail.mil  



",5
RE: Meal Cards ,"

Great news Leave...Happy Happy New Year to all!!...

DLA Kuwait...On Time, Every Time!

Thank you and Very respectfully,
CAPT John Ocean, SC, USN
Commander, Supply Stuff - Kuwait
Camp Desert, Kuwait
DSN:  123-456-7890
US CELL:  123-456-7890
CELL:  123-456-7890
VOSIP:  123-456-7890
TB:  123-456-7890
NIPR:  john.r.ocean.mil@mail.mil
SIPR:  john.r.ocean.mil@mail.smil.mil


-----Original Message-----
From: Alone, James K (Leave) CDR USN COMUSNAVEUR USNAVAF (US) 
Sent: Monday, January 04, 2016 1:48 PM
To: Neversail, Petty O PO2 USN SUNNYCOM OAHU HI (US) <Petty.o.NEVERSAIL.mil@mail.mil>; Ocean, John R CAPT USN (US) <john.r.ocean.mil@mail.mil>;   
Subject: FW: Meal Cards 



Hello shipmates, 
You will be pleased to know all the stress and churn about Blue cards was unnecessary, we only need to present our ID cards. I.e. back to what we have been doing. 
Please let us know if you have any questions. 
Thanks for your patience and understanding. 
v/r
Leave

CDR Leave Alone
NAVYCOM LNO
USBANGCOM/HIGHER
Camp Desert, Kuwait
DSN:  123-456-7890
Cell: 12345678
VOSIP:  123-456-7890
NIPR:  leave.me.Alone.mil@mail.mil
SIPR:  leave.me.Alone.mil@mail.smil.mil


-----Original Message-----
From: Chief, Master MCPO USN (US) 
Sent: Monday, January 04, 2016 1:15 PM
To: Alone, James K (Leave) CDR USN COMUSNAVEUR USNAVAF (US) <leave.me.Alone.mil@mail.mil>
Cc: Gruff, Jim R MSG USARMY UBER-HIGHER HIGHER (US) <jim.r.gruff.mil@mail.mil>
Subject: FW: Meal Cards 



Sir / MSG,

Please put this out.

V/R
MCPO

Master O. Chief
Master Chief, US Navy
HIGHER HQ SGM
Task Force - Operation Doing StuffCamp Desert, Kuwait

NIPR: master.chief.mil@mail.mil
SIPR:  master.chief.mil@mail.smil.mil

DSN: 123-456-7890
SVOIP: 123-456-7890


-----Original Message-----
From: Soldier, Old D CSM USARMY ABC KUWAIT (US) 
Sent: Monday, January 04, 2016 12:55 PM
To: Chief, Master MCPO USN (US) <master.chief.mil@mail.mil>; 
Subject: RE: Meal Cards 



Team,

You will be happy to discover that no longer will you have to produce orders or a meal card through the DFAC.  The only thing you must present is your ID card.   Personnel being in-processed here at CD will still receive the stamp on their orders, but however you will not have to show them to the Headcount at the DFAC.  Once again, all that is required once you walk through the DFAC is to show your ID card....

Old


Respectfully,

Old D. Soldier
CSM, USA
ABC-KU CSM, Camp Desert
DSN: 123-456-7890
COMM: 123-456-7890
CELL: 123-456-7890
N: old.d.soldier.mil@mail.mil
S: old.d.soldier.mil@mail.smil.mil







",37
FW: MWR Events ,"

FYI

-----Original Message-----
From: Good, Enlisted I SPC USARMY USBANGCOM (US) 
Sent: Monday, December 28, 2015 11:37 AM
To:  ; Loudly, Speaks V SFC USARMY UBER-HIGHER HIGHER (US) <speaks.v.loudly2@mil@mail.mil>;    
Cc: Chief, Master MCPO USN (US) <master.chief.mil@mail.mil>; Gruff, Jim R MSG USARMY UBER-HIGHER HIGHER (US) <jim.r.gruff.mil@mail.mil>; 
Subject: MWR Events (UNCLASSIFIED)



Leaders,

Please disseminate to the lowest level. 

 Attached is the MWR Calendar for the month of January.  Also, there is a New Year's Eve party this Thursday starting at 2100 in the Zone 1 gym.  Thank you and have a great day.

V/R
SPC Good Enlisted
ADMIN SPECIALIST
HIGHER/HQ
DSN-123-4567




",4
Off Post Memo Request ,"


HQ Admin,

Please find attached a Risk Assessment form and Off-Post Memo IRT picking up PO2 NEVERSAIL returning from leave at airport on 28 December. If the format is correct, can you please route to COL Angry for signature. Thanks.

v/r
Johnny E. Grayhair Jr
CW3, MI
Unit Senior Activities Tech
123-456-7890


",4
RE: Off Post Memo Request (UNCLASSIFIED),"

Sir,

Memo will be ready for pickup by COB today.

V/R
SPC Good Enlisted
ADMIN SPECIALIST
HIGHER/HQ
DSN-123-4567


-----Original Message-----
From: Slick, Willie T LT NAVY [mailto:willie.t.slick@navy.mil] 
Sent: Saturday, December 26, 2015 2:38 PM
To: Good, Enlisted I SPC USARMY USBANGCOM (US) <enlisted.i.good.mil@mail.mil>; Gruff, Jim R MSG USARMY UBER-HIGHER HIGHER (US) <jim.r.gruff.mil@mail.mil>; Chief, Master MCPO USN (US) <master.chief.mil@mail.mil>
Cc: Loudly, Speaks V SFC USARMY UBER-HIGHER HIGHER (US) <speaks.v.loudly2@mil@mail.mil>; Boss, Extraver T LTC USARMY UBER-HIGHER HIGHER (US) <extraver.t.boss.mil@mail.mil>
Subject: (U) Off Post Memo Request

HQ Admin,



Please find attached a Risk Assessment form and Off-Post Memo IRT SPC Oddly's return from leave on 28 December. If the format is correct, can you please route to COL Angry for signature. Thanks.



V/r,

LT Slick





",5
RE: SOQ Nominations ,"

LT,

Got it...thanks.

V/R
MCPO

Master O. Chief
Master Chief, US Navy
HIGHER HQ SGM
Task Force - Operation Doing StuffCamp Desert, Kuwait

NIPR: master.chief.mil@mail.mil
SIPR:  master.chief.mil@mail.smil.mil

DSN: 123-456-7890
SVOIP: 123-456-7890


-----Original Message-----
From: Slick, Willie T LT NAVY [mailto:willie.t.slick@navy.mil] 
Sent: Saturday, December 26, 2015 9:30 AM
To: Chief, Master MCPO USN (US) <master.chief.mil@mail.mil>
Subject: (U) SOQ Nominations

Master Chief,



Attached are our inputs for JSOQ/SSOQ nominations for CTR3 FEMALE and CTR2 NEVERSAIL. The Warrants and I agree both have been tremendous assets to our section. I left them unformatted so you can smooth as you feel necessary. Please let me know if you need additional information.



V/r,

LT S

",10
RE: Leave form ,"

Here is the updated form.

v/r
WO1 Worker

-----Original Message-----
From: Slick, Willie T LT USN NAVY (US) 
Sent: Tuesday, December 22, 2015 4:32 PM
To: Worker, Focus P WO1 USARMY UBER-HIGHER HIGHER (US) <focus.p.Worker.mil@mail.mil>
Subject: RE: Leave form 

Focus, 

 

I need a new version of the counseling form. Apparently my name also needs to be in top block that says ""Name of Title of Counselor."" Please make the addition and resend to me so I can resign and return to SFC Loudly. Thanks. 

 

V/r,

LT S

 

________________________________

From: Worker, Focus P WO1 USARMY UBER-HIGHER HIGHER (US)
Sent: Saturday, December 19, 2015 7:43 AM
To: Slick, Willie T LT USN NAVY (US)
Subject: FW: Leave form 




Sir,

        Departing the 27th at 0110 and returning the 12th at 1800.


V/R
Focus P. Worker
WO1, MI
HIGHER HQ Activities

-----Original Message-----
From: Worker, Focus P WO1 USARMY UBER-HIGHER HIGHER (US) 
Sent: Wednesday, December 16, 2015 11:24 AM
To: Loudly, Speaks V SFC USARMY UBER-HIGHER HIGHER (US) <speaks.v.loudly2@mil@mail.mil>; Boss, Extraver T LTC USARMY UBER-HIGHER HIGHER (US) <extraver.t.boss.mil@mail.mil>
Subject: Leave form 



LTC boss and SFC Loudly,

        Attached is my leave request.


V/R
Focus P. Worker
WO1, MI
HIGHER HQ Activities




",8
Base Access Documents for Contractors ,"

Willie,

  You will need high quality, color copies of Passports, Driver's Licenses and CAC Cards.  I've included blank forms and copies of ones that were approved so you have a reference document.  Unfortunately, I only have my COR letter in hardcopy.  I'll copy it and give it to you.

r/
F~

Fun Y. Civilian
 LNO to HIGHER
Camp Desert, Kuwait
TSVOIP: 123-4567
SVOIP: 123-456-7890
U/DSN: 123-456-7890
SIPR: fun.y.civilian.civ@mail.smil.mil
NIPR: fun.y.civilian.civ@mail.mil
Personal: nope@yahoo.com



",9
Leave form ,"

Sir,

	The edited statement and signed DA31.

V/R


Wo1 Worker

",1
FW: All hands call with ECRC CO ,"

Please see traffic below


v/r

SFC Loudly, Speaks
HQ FUSION NCOIC
SIPR: 123-456-7890
NIPR: 123-456-7890
speaks.v.loudly2@mil@mail.mil  




-----Original Message-----
From: Boss, Extraver T LTC USARMY UBER-HIGHER HIGHER (US) 
Sent: Tuesday, December 15, 2015 1:07 PM
To: Chief, Master MCPO USN (US) <master.chief.mil@mail.mil>;
Cc: Loudly, Speaks V SFC USARMY UBER-HIGHER HIGHER (US) <speaks.v.loudly2@mil@mail.mil>
Subject: RE: All hands call with ECRC CO 



Master Chief,

Thanks for the heads up. See no problem---

R/

LTC Boss

Ext T Boss
LTC , MI
Fusion Chief 


-----Original Message-----
From: Chief, Master MCPO USN (US) 
Sent: Tuesday, December 15, 2015 11:51 AM
To: Boss, Extraver T LTC USARMY UBER-HIGHER HIGHER (US) <extraver.t.boss.mil@mail.mil>;
Cc: 
Subject: FW: All hands call with ECRC CO 



Gentlemen,

Please support this by allowing your Navy Personnel to attend the all hands call Friday 18DEC at 1600 in the NCR.  Thank you in advance.

V/R
Master Chief

Master O. Chief
Master Chief, US Navy
HIGHER HQ SGM
Task Force - Operation Doing StuffCamp Desert, Kuwait

NIPR: master.chief.mil@mail.mil
SIPR:  master.chief.mil@mail.smil.mil

DSN: 123-456-7890
SVOIP: 123-456-7890

",18
boots (UNCLASSIFIED),"

Team Navy,

A group that sends care packages to troops sent me a pair of size 8 1/2 steel toe black Reebok boots. They are very nice boots (if you are about 5'3""). If anyone has feet the size of Sleeping Beauty and would like these boots, please let me know.

V/R,
LCDR Noname

-----Original Message-----
From: Ocean John R CAPT USN (US) 
Sent: Saturday, December 12, 2015 5:40 PM
To: Chief, Master MCPO USN (US) <master.chief.mil@mail.mil>; Alone, James K (Leave) CDR USN COMUSNAVEUR USNAVAF (US) <leave.me.Alone.mil@mail.mil>; Neversail, Petty O PO2 USN SUNNYCOM OAHU HI (US) <Petty.o.NEVERSAIL.mil@mail.mil>;  
Subject: RE: Army Navy Game viewing 



Ok MC safe travels...

DLA Kuwait...On Time, Every Time!

Thank you and Very respectfully,
CAPT John Ocean, SC, USN
Commander, Supply Stuff - Kuwait
Camp Desert, Kuwait
DSN:  123-456-7890
US CELL:  123-456-7890
CELL:  123-456-7890
VOSIP:  123-456-7890
TB:  123-456-7890
NIPR:  john.r.ocean.mil@mail.mil
SIPR:  john.r.ocean.mil@mail.smil.mil


-----Original Message-----
From: Chief, Master MCPO USN (US) 
Sent: Saturday, December 12, 2015 10:09 AM
To: Alone, James K (Leave) CDR USN COMUSNAVEUR USNAVAF (US) <leave.me.Alone.mil@mail.mil>; Neversail, Petty O PO2 USN SUNNYCOM OAHU HI (US) <Petty.o.NEVERSAIL.mil@mail.mil>; Ocean, John R CAPT USN (US) <john.r.ocean.mil@mail.mil>;  
Subject: RE: Army Navy Game viewing 



I will be there in spirit.  I am departing the pattern for a couple days in the ""North Lands"".  Please make fun of the Army as we WIN once again !

V/R
Master Chief

Master O. Chief
Master Chief, US Navy
HIGHER HQ SGM
Task Force - Operation Doing StuffCamp Desert, Kuwait

NIPR: master.chief.mil@mail.mil
SIPR:  master.chief.mil@mail.smil.mil

DSN: 123-456-7890
SVOIP: 123-456-7890


-----Original Message-----
From: Alone, James K (Leave) CDR USN COMUSNAVEUR USNAVAF (US) 
Sent: Friday, December 11, 2015 7:43 PM
To: Neversail, Petty O PO2 USN SUNNYCOM OAHU HI (US) <Petty.o.NEVERSAIL.mil@mail.mil>; Ocean, John R CAPT USN (US) <john.r.ocean.mil@mail.mil>;  
Subject: Army Navy Game viewing (UNCLASSIFIED)



Hello shipmates, 
Please join us in cheering on Navy as the defeat the Army team for the 14th time!
We will be meeting at the Eagles Landing at 2300. Details are in the attached flyer.
Hope to see you there!
v/r
CDR Leave Alone

CDR Leave Alone
NAVCENT LNO
USBANGCOM/HIGHER-OIR
Camp Desert, Kuwait
DSN:  318-430-1003
Cell: 98762926
VOSIP:  308-430-0048
NIPR:  leave.me.Alone.mil@mail.mil
SIPR:  leave.me.Alone.mil@mail.smil.mil






",30
Let the underworld solve the ISIS problem,"http://www.forbes.com/sites/doliaestevez/2015/12/10/drug-kingpin-el-chapo-guzman-reportedly-threatens-to-retaliate-against-isis/

Very Respectfully,
 LCDR Running Swimmer
 HQ Assessments
 HIGHER
 Camp Desert, Kuwait
 DSN:  123-456-7890
 SI-VOIP:  123-456-7890
 NIPR: running.a.swimmer4.mil@mail.mil
 SIPR:  running.a.swimmer4.mil@mail.smil.mil

",8
Moats LOE Needs Sig! (UNCLASSIFIED),"

Willie,

I sent you an email on the highside right after you left here on Saturday saying you signed the wrong LOE. Can you please come by tomorrow and sign it, I'll be around for some of tomorrow afternoon but then I'm getting on a plane.

Thanks,
Zoomie


",1
Loaner Vehicle ,"

All,

We were given a loaner vehicle while ours is out for repairs.

v/r

SFC Loudly, Speaks
HQ FUSION NCOIC
SIPR: 123-456-7890
NIPR: 123-456-7890
speaks.v.loudly2@mil@mail.mil  


",5
"FW: [Non-DoD Source] MWR Entertainment Presents AFE NHRA Summit Racing Tour 30 Nov, 3&4 Dec ","

ALL,

Some MWR entertainment

v/r

SFC Loudly, Speaks
HQ FUSION NCOIC
SIPR: 123-456-7890
NIPR: 123-456-7890
speaks.v.loudly2@mil@mail.mil  


",5
Cashed Check Today - FYI (UNCLASSIFIED),"

Took me about a week to remember to cash your check, but I deposited it today. FYI. Thanks again for paying early.

-Goose

Very Respectfully,
LT Maverick ""Goose"" Driftsalot, USN
HIGHER, PRCC Deputy Director

NIPR: fredrick.r.Driftsalot.mil@mail.mil
SIPR:  fredrick.r.Driftsalot.mil@mail.smil.mil
SVOIP: 123-456-7890/DSN: 123-456-7890
SVOIP: HIGHER PRCC: 123-456-7890
**NEW**Kuwait CELL: 123-456-7890



",7
