"Thank you and Very respectfully,","CAPT John Ocean, SC, USN","Commander, Supply Stuff - Kuwait","Camp Desert, Kuwait",DSN:  123-456-7890,US CELL:  123-456-7890,CELL:  123-456-7890,VOSIP:  123-456-7890,TB:  123-456-7890,NIPR:  john.r.ocean.mil@mail.mil,SIPR:  john.r.ocean.mil@mail.smil.mil,"Hello shipmates, ","You will be pleased to know all the stress and churn about Blue cards was unnecessary, we only need to present our ID cards. I.e. back to what we have been doing. ",Please let us know if you have any questions. ,Thanks for your patience and understanding. ,Leave,CDR Leave Alone,NAVYCOM LNO,USBANGCOM/HIGHER,"Camp Desert, Kuwait",DSN:  123-456-7890,Cell: 12345678,VOSIP:  123-456-7890,NIPR:  leave.me.Alone.mil@mail.mil,SIPR:  leave.me.Alone.mil@mail.smil.mil,MCPO,Master O. Chief,"Master Chief, US Navy",HIGHER HQ SGM,"Task Force - Operation Doing StuffCamp Desert, Kuwait",NIPR: master.chief.mil@mail.mil,SIPR:  master.chief.mil@mail.smil.mil,DSN: 123-456-7890,SVOIP: 123-456-7890,"Respectfully,",Old D. Soldier,"CSM, USA","ABC-KU CSM, Camp Desert",DSN: 123-456-7890,COMM: 123-456-7890,CELL: 123-456-7890,N: old.d.soldier.mil@mail.mil,S: old.d.soldier.mil@mail.smil.mil
SPC Good Enlisted,ADMIN SPECIALIST,HIGHER/HQ,DSN-123-4567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HQ Admin,",Johnny E. Grayhair Jr,"CW3, MI",Unit Senior Activities Tech,123-456-7890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC Good Enlisted,ADMIN SPECIALIST,HIGHER/HQ,DSN-123-4567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCPO,Master O. Chief,"Master Chief, US Navy",HIGHER HQ SGM,"Task Force - Operation Doing StuffCamp Desert, Kuwait",NIPR: master.chief.mil@mail.mil,SIPR:  master.chief.mil@mail.smil.mil,DSN: 123-456-7890,SVOIP: 123-456-7890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO1 Worker,"Sir,",Focus P. Worker,"WO1, MI",HIGHER HQ Activities,Focus P. Worker,"WO1, MI",HIGHER HQ Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fun Y. Civilian, LNO to HIGHER,"Camp Desert, Kuwait",TSVOIP: 123-4567,SVOIP: 123-456-7890,U/DSN: 123-456-7890,SIPR: fun.y.civilian.civ@mail.smil.mil,NIPR: fun.y.civilian.civ@mail.mil,Personal: nope@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SFC Loudly, Speaks",HQ FUSION NCOIC,SIPR: 123-456-7890,NIPR: 123-456-7890,speaks.v.loudly2@mil@mail.mil  ,Ext T Boss,"LTC , MI",Fusion Chief ,Master Chief,Master O. Chief,"Master Chief, US Navy",HIGHER HQ SGM,"Task Force - Operation Doing StuffCamp Desert, Kuwait",NIPR: master.chief.mil@mail.mil,SIPR:  master.chief.mil@mail.smil.mil,DSN: 123-456-7890,SVOIP: 123-456-7890,,,,,,,,,,,,,,,,,,,,,,,,,,
"V/R,",LCDR Noname,"Thank you and Very respectfully,","CAPT John Ocean, SC, USN","Commander, Supply Stuff - Kuwait","Camp Desert, Kuwait",DSN:  123-456-7890,US CELL:  123-456-7890,CELL:  123-456-7890,VOSIP:  123-456-7890,TB:  123-456-7890,NIPR:  john.r.ocean.mil@mail.mil,SIPR:  john.r.ocean.mil@mail.smil.mil,Master Chief,Master O. Chief,"Master Chief, US Navy",HIGHER HQ SGM,"Task Force - Operation Doing StuffCamp Desert, Kuwait",NIPR: master.chief.mil@mail.mil,SIPR:  master.chief.mil@mail.smil.mil,DSN: 123-456-7890,SVOIP: 123-456-7890,"Hello shipmates, ",Please join us in cheering on Navy as the defeat the Army team for the 14th time!,We will be meeting at the Eagles Landing at 2300. Details are in the attached flyer.,Hope to see you there!,CDR Leave Alone,CDR Leave Alone,NAVCENT LNO,USBANGCOM/HIGHER-OIR,"Camp Desert, Kuwait",DSN:  318-430-1003,Cell: 98762926,VOSIP:  308-430-0048,NIPR:  leave.me.Alone.mil@mail.mil,SIPR:  leave.me.Alone.mil@mail.smil.mil,,,,,,,
"Very Respectfully,", LCDR Running Swimmer, HQ Assessments, HIGHER," Camp Desert, Kuwait", DSN:  123-456-7890, SI-VOIP:  123-456-7890, NIPR: running.a.swimmer4.mil@mail.mil, SIPR:  running.a.swimmer4.mil@mail.smil.mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SFC Loudly, Speaks",HQ FUSION NCOIC,SIPR: 123-456-7890,NIPR: 123-456-7890,speaks.v.loudly2@mil@mail.mil  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SFC Loudly, Speaks",HQ FUSION NCOIC,SIPR: 123-456-7890,NIPR: 123-456-7890,speaks.v.loudly2@mil@mail.mil  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Very Respectfully,","LT Maverick ""Goose"" Driftsalot, USN","HIGHER, PRCC Deputy Director",NIPR: fredrick.r.Driftsalot.mil@mail.mil,SIPR:  fredrick.r.Driftsalot.mil@mail.smil.mil,SVOIP: 123-456-7890/DSN: 123-456-7890,SVOIP: HIGHER PRCC: 123-456-7890,**NEW**Kuwait CELL: 123-456-7890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
